"id","off_fk_id","cat_fk_id","created_at","updated_at","publish_at","published_by"
32,24,24,"2023-03-06 04:48:42.935501+00",NULL,"2023-03-06 04:48:42.935501+00",NULL
33,21,38,"2023-03-06 04:50:25.101949+00",NULL,NULL,NULL
34,24,38,"2023-03-06 04:50:25.101949+00",NULL,"2023-03-06 04:50:25.101949+00",NULL
35,19,38,"2023-03-06 04:50:25.101949+00",NULL,"2023-03-06 04:50:25.101949+00",NULL
36,22,38,"2023-03-06 04:50:45.398844+00",NULL,"2023-03-06 04:50:45.398844+00",NULL
37,21,37,"2023-03-06 04:54:33.859269+00",NULL,NULL,NULL
38,24,37,"2023-03-06 04:54:33.859269+00",NULL,"2023-03-06 04:54:33.859269+00",NULL
39,19,38,"2023-03-06 04:54:33.859269+00",NULL,"2023-03-06 04:54:33.859269+00",NULL
40,25,21,"2023-03-06 11:04:12.991651+00",NULL,"2023-03-06 11:04:12.991651+00",NULL
41,20,38,"2023-03-06 11:50:11.328605+00",NULL,"2023-03-06 11:50:11.328605+00",NULL
42,23,38,"2023-03-06 11:50:11.328605+00",NULL,"2023-03-06 11:50:11.328605+00",NULL
43,24,39,"2023-03-06 11:58:26.860244+00",NULL,"2023-03-06 11:58:26.860244+00",NULL
44,23,39,"2023-03-06 11:58:26.860244+00",NULL,"2023-03-06 11:58:26.860244+00",NULL
